Made By:;Juan;Luis;Magaña;Paz
Fecha;Hora;Temperatura;Humedad;Presion;Wind speed;Rumbo;
09/06/19;20:20:42;23;46;81;65;NNW;
09/06/19;20:20:42;16;12;62;79;SSE;
09/06/19;20:20:42;95;46;64;76;SEE;
09/06/19;20:20:42;24;5;68;54;E;
09/06/19;20:20:42;88;94;61;39;NNW;
09/06/19;20:20:42;76;21;96;38;WNW;
09/06/19;20:20:42;93;27;41;34;NEE;
09/06/19;20:20:42;25;84;67;34;E;
09/06/19;20:20:42;60;71;72;81;W;
09/06/19;20:20:42;85;20;58;28;NNE;
09/06/19;20:20:42;93;77;33;51;SSE;
09/06/19;20:20:42;90;28;2;2;NEE;
09/06/19;20:20:42;24;89;59;47;NEE;
09/06/19;20:20:42;60;97;90;2;N;
09/06/19;20:20:42;5;57;83;90;SWW;
09/06/19;20:20:42;90;47;19;85;SEE;
09/06/19;20:20:42;42;27;72;72;SWW;
09/06/19;20:20:42;74;39;48;86;NEE;
09/06/19;20:20:42;64;21;31;78;W;
09/06/19;20:20:42;60;15;92;79;SEE;
09/06/19;20:20:42;14;14;85;90;SWW;
09/06/19;20:20:42;2;1;14;59;SEE;
09/06/19;20:20:42;83;13;49;69;NNW;
09/06/19;20:20:42;3;34;88;46;NEE;
09/06/19;20:20:42;55;56;6;68;NEE;
09/06/19;20:20:42;42;81;95;94;NNE;
09/06/19;20:20:42;81;11;63;78;SSW;
09/06/19;20:20:42;86;82;61;66;NEE;
09/06/19;20:20:42;30;14;85;75;S;
09/06/19;20:20:42;99;78;11;4;NNW;
09/06/19;20:20:42;30;83;42;78;W;
09/06/19;20:20:42;85;89;9;7;N;
09/06/19;20:20:42;47;99;65;95;NNE;
09/06/19;20:20:42;86;79;6;36;E;
09/06/19;20:20:42;86;62;98;2;NNE;
09/06/19;20:20:42;65;64;17;90;E;
09/06/19;20:20:42;58;72;32;25;SWW;
09/06/19;20:20:42;40;79;71;83;SWW;
09/06/19;20:20:42;44;57;88;77;NEE;
09/06/19;20:20:42;36;92;70;85;SSE;
09/06/19;20:20:42;48;92;84;10;S;
09/06/19;20:20:42;99;53;34;58;SSE;
09/06/19;20:20:42;90;7;50;97;WNW;
09/06/19;20:20:42;2;69;28;39;SSE;
09/06/19;20:20:42;86;55;49;47;W;
09/06/19;20:20:42;21;21;34;22;N;
09/06/19;20:20:42;31;1;60;2;SWW;
09/06/19;20:20:42;55;70;66;97;W;
09/06/19;20:20:42;65;35;1;86;N;
09/06/19;20:20:42;86;29;41;12;NNW;
09/06/19;20:20:42;24;57;95;54;E;
09/06/19;20:20:42;25;66;85;51;E;
09/06/19;20:20:42;26;24;90;1;SSW;
09/06/19;20:20:42;23;75;2;56;NEE;
09/06/19;20:20:42;52;17;74;31;SSE;
09/06/19;20:20:42;36;41;80;67;SSE;
09/06/19;20:20:42;1;41;94;33;NEE;
09/06/19;20:20:42;66;71;82;68;SWW;
09/06/19;20:20:42;95;5;37;22;NNW;
09/06/19;20:20:42;44;6;86;6;SWW;
09/06/19;20:20:42;66;79;29;27;S;
09/06/19;20:20:42;16;18;95;35;SEE;
09/06/19;20:20:42;74;12;79;51;S;
09/06/19;20:20:42;58;20;30;53;S;
09/06/19;20:20:42;12;56;62;71;NNE;
09/06/19;20:20:42;97;18;74;56;NNW;
09/06/19;20:20:42;97;37;86;73;W;
09/06/19;20:20:42;12;61;83;15;SEE;
09/06/19;20:20:42;80;16;15;46;NEE;
09/06/19;20:20:42;28;22;47;97;SSW;
09/06/19;20:20:42;12;28;20;59;SSE;
09/06/19;20:20:42;3;36;53;49;WNW;
09/06/19;20:20:42;57;85;19;32;E;
09/06/19;20:20:42;31;19;82;36;SWW;
09/06/19;20:20:42;39;16;16;93;SSW;
09/06/19;20:20:42;95;92;59;24;NNE;
09/06/19;20:20:42;92;99;8;94;SEE;
09/06/19;20:20:42;60;22;33;26;SEE;
09/06/19;20:20:42;87;41;50;72;N;
09/06/19;20:20:42;23;30;25;64;NNE;
09/06/19;20:20:42;40;98;55;57;SSE;
09/06/19;20:20:42;98;67;8;43;SWW;
09/06/19;20:20:42;38;96;84;42;SSW;
09/06/19;20:20:42;98;93;92;56;NNE;
09/06/19;20:20:42;95;49;88;51;SEE;
09/06/19;20:20:42;53;49;98;63;NEE;
09/06/19;20:20:42;64;55;85;55;SWW;
09/06/19;20:20:42;8;58;32;52;NEE;
09/06/19;20:20:42;22;86;87;77;NNW;
09/06/19;20:20:42;40;97;39;83;SSW;
09/06/19;20:20:42;92;80;9;56;NEE;
09/06/19;20:20:42;28;55;62;64;NNE;
09/06/19;20:20:42;83;68;74;41;NEE;
09/06/19;20:20:42;26;86;84;65;E;
09/06/19;20:20:42;67;58;95;97;N;
